Friendliest Countries 2022

Country         Rank       2022 Population

Portugal	1	     10,140,570
Taiwan	        2	     23,888,595
Mexico	        3	     131,562,772
Cambodia	4	     17,168,639
Bahrain	        5	     1,783,983
Costa Rica	6	     5,182,354
Oman	        7	     5,323,993
Colombia	8	     51,512,762
Vietnam	        9	     98,953,541
Canada	        10	     38,388,419
Philippines	11	     112,508,994
Peru	        12	     33,684,208
Ecuador	        13	     18,113,361
Brazil	        14	     215,353,593
Uganda	        16	     48,432,863
Spain	        17	     46,719,142
Myanmar	        18	     55,227,143
Romania	        19	     19,031,335
Thailand	20	     70,078,203
Indonesia	21	     279,134,505
Malaysia	22           33,181,072
Cyprus	        23	     1,223,387
Israel	        24	     8,922,892
Malta	        25	     444,033
Argentina	26	     46,010,234
Kenya	        27	     56,215,221
Kazakhstan	28	     19,205,043
Turkey	        29	     85,561,976
Ireland	        30	     5,020,199
New Zealand	31	     4,898,203
Greece	        32	     10,316,637
Nigeria	        33	     216,746,934
India	        34	     1,406,631,776
Netherlands	35	     17,211,447
United States	36	     334,805,269
Australia	37	     26,068,792
Hong Kong	38	     7,604,299
Luxembourg	39	     642,371
Singapore	40           5,943,546
Italy	        41	     60,262,770
South Korea	42	     51,329,899
China	        43	     1,448,471,400
Japan	        44	     125,584,838
Ukraine	        45	     43,192,122
Panama	        46	     4,446,964
Germany	        47	     83,883,596
Norway	        48	     5,511,370
Chile	        49	     19,250,195
Belgium	        50	     11,668,278
Sweden	        51	     10,218,971
Russia	        52	     145,805,947
Qatar	        53	     2,979,915
Poland	        54	     37,739,785
France	        55	     65,584,518
United Kingdom	56	     68,497,907
South Africa	57	     60,756,135
Hungary	        58	     9,606,259
Saudi Arabia	59	     35,844,909
Denmark	        60	     5,834,950
Finland	        61	     5,554,960
Czech Republic	62	     10,736,784
Switzerland	63	     8,773,637
Austria	        64	     9,066,710
Kuwait	        65	     4,380,326
